Name,Website,Bio
Adriana Herrera,https://adrianaherreraromance.com/,"USA Today Best Selling author Adriana was born and raised in the Caribbean, but for the last fifteen years has let her job (and her spouse) take her all over the world. She loves writing stories about people who look and sound like her people, getting unapologetic happy endings. When she’s not dreaming up love stories, planning logistically complex vacations with her family or hunting for discount Broadway tickets, she’s a trauma therapist in New York City, working with survivors of domestic and sexual violence. Her Dreamers series has received starred reviews from Publisher’s Weekly and Booklist and has been featured in The TODAY Show on NBC, Entertainment Weekly, NPR, Library Journal and The Washington Post. Her debut, American Dreamer, was selected as one of Booklist’s Best Romance Debuts of 2019, and one of the Top 10 Romances of 2019 by Entertainment Weekly. Her third novel, American Love Story, was one of the winners in the first annual Ripped Bodice Award for Excellence in Romantic Fiction. Adriana is an outspoken advocate for diversity in romance and has written for Remezcla and Bustle about Own Voices in the genre. She’s one of the co-creators of the Queer Romance PoC Collective. Represented by Taylor Haggerty at  Root Literary. "
Adrianne Byrd,https://www.goodreads.com/author/show/79105.Adrianne_Byrd,"National Best-selling author of forty multicultural romance, Adrianne Byrd has always preferred to live within the realms of her imagination where all the men are gorgeous and the women are worth whatever trouble they manage to get into. As an army brat, she traveled throughout Europe and learned to appreciate and value different cultures. Now, she calls Georgia home. Writing remained a hobby until 1994 when a co-worker approached her with an article on Romance Writers of America. Who knew there was an organization of women just like her? By 1996 she sold her first novel, Defenseless, to Kensington Publishing."
Alexa Martin,https://www.alexamartin.com/,"Alexa Martin is a writer and stay at home mom. She lives in Colorado with her husband, a former NFL player who now coaches at the high school where they met, their four children, and a German Shepherd. When she's not telling her kids to put their shoes on...again, you can find her catching up with her latest book boyfriend or on Pinterest pinning meals she'll probably never make. Her first book, Intercepted, was inspired by the eight years she spent as an NFL wife"
Alexandria House,https://www.msalexhouse.com/,"A true southern girl, Alexandria House has an affinity for a good banana pudding, Neo Soul music, and tall black men in suits. When this music-loving fashionista is not shopping, she's writing steamy stories about real black love. "
Alexis Daria,https://alexisdaria.com/,"Alexis Daria writes stories about successful Latinx characters and their (occasionally messy) familias. Her debut Take the Lead won the 2018 RITA® Award for “Best First Book” and her latest release, You Had Me at Hola, is a national bestseller, Target Diverse Book Club Pick, and New York Times Editor’s Choice Pick. Alexis is a lifelong New Yorker who loves Broadway musicals and pizza."
Alyssa Cole,https://alyssacole.com/,"Alyssa Cole is a New York Times and USA Today Bestselling author of romance (historical, contemporary, and sci-fi) and thrillers. Her Civil War-set espionage romance An Extraordinary Union was the American Library Association’s RUSA Best Romance for 2018, and A Princess in Theory was one of the New York Times’ 100 Notable Books of 2018. She’s contributed to publications including Bustle, Shondaland, The Toast, Vulture, RT Book Reviews, and Heroes and Heartbreakers, and her books have received critical acclaim from The New York Times, Library Journal, BuzzFeed, Kirkus, Booklist, Jezebel, Vulture, Book Riot, Entertainment Weekly, and various other outlets. When she’s not working, she can usually be found watching anime or wrangling her pets."
Beverly Jenkins,https://beverlyjenkins.net/,"Beverly Jenkins is the recipient of the 2017 Romance Writers of America Nora Roberts Lifetime Achievement Award, as well as the 2016 Romantic Times Reviewers Choice Award for historical romance. She has been nominated for the NAACP Image Award in Literature, was featured both in the documentary Love Between the Covers and on CBSSundayMorning. Since the publication ofNight Songin 1994, she has been leading the charge for multicultural romance, and has been a constant darling of reviewers, fans, and her peers alike, garnering accolades for her work from the likes of The Wall Street Journal,People Magazine, and NPR."
Brenda Jackson,https://www.brendajackson.net/,"Brenda Jackson, New York Times and USA Today Bestselling author of over 100 novels and novellas, was born in Jacksonville, Florida. She earned a Bachelor of Science degree in Business Administration from Jacksonville University. She married her high school sweetheart, Gerald, and they have two sons, Gerald Jr. and Brandon, ages thirty-six and thirty-four, respectively. She is an active member of Delta Sigma Theta Sorority, Inc. Her professional writing career began in 1995 with the release of her first book, Tonight and Forever. Since then she has written over 100 titles, which includes a made-for-television movie by BET, One Special Moment as well as the movie, Truly Everlasting. She was a 2012 NAACP Image Award Nominee for Outstanding Literary Fiction for her book, A Silken Thread; and was named Romance Writers of America's Nora Robert's Lifetime Achievement Award recipient for 2012."
Candace Shaw,https://candaceshaw.net/,"Candace Shaw writes romance novels because she believes that happily-ever-after isn't found only in fairy tales. When she's not writing or researching information for a book, you can find Candace in her gardens, shopping, reading or learning how to cook a new dish.

She lives in Atlanta, Georgia with her loving husband and is currently working on her next fun, flirty, and sexy romance!

Candace loves connecting and chatting with readers on social media."
Charish Reid,https://charishreid.com/,"Charish Reid currently lives in Sweden with her professor husband, who enjoys walking and biking way more than she does. While he walks and bikes, she writes contemporary romance featuring sexy academics, who are trying to find love and adventure from under stacks of student papers. While she was born in Little Rock, AR, she has lived all over the United States observing people and taking notes for poetry, essays, and novels."
